Timestamp,Username,VideoID,Comment,Date,VideoId,VideoUrl
2024-09-08T17:01:19Z,@juanmattcdp1752,rd2jKGQJucE,gracias por el curso profe,2024-09-08T17:01:19Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-09-05T22:34:39Z,@daviddominguezduarte5364,rd2jKGQJucE,no sabe como le agradezco profe,2024-09-05T22:34:39Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-08-21T22:38:58Z,@SCRC10,rd2jKGQJucE,"profe en la carpeta faltan las exactas, las puedes explicar?
o me puedes decir donde estan",2024-08-21T22:38:58Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-08-07T15:07:03Z,@carlosbenitez9351,rd2jKGQJucE,"Profe Alex, las ecuaciones diferenciales es lo mismo que el cálculo diferencial, esque quiero aprender cálculo diferencial.",2024-08-07T15:08:01Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-08-07T21:27:39Z,@MatematicasprofeAlex,rd2jKGQJucE,"No, son dos temas diferentes, te invito a los cursos de cálculo: https://youtube.com/playlist?list=PLeySRPnY35dG9t51yT4nCwQEtWwCwvBwn&si=QCeTXXETjjLBjUgp
https://youtube.com/playlist?list=PLeySRPnY35dG2UQ35tPsaVMYkQhc8Vp__&si=InUOqoeViWyvqg0d",2024-08-07T21:27:39Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-08-07T21:36:15Z,@carlosbenitez9351,rd2jKGQJucE,"@@MatematicasprofeAlex Muchas gracias profe, le agradezco su respuesta, he aprendido mucho de usted, ire a visitar el curso de cálculo",2024-08-07T21:36:15Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-07-04T17:47:45Z,@alvarezayalajesusoctavio6011,rd2jKGQJucE,como lo amo profe Alex es mi lugar seguro para aprender<3,2024-07-04T17:47:45Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-06-05T14:56:39Z,@diegofernandoramosrodrigue4128,rd2jKGQJucE,Muchas gracias profe,2024-06-05T14:56:39Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-05-25T21:57:30Z,@metalfury4879,rd2jKGQJucE,Graciasss,2024-05-25T21:57:30Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-05-05T02:31:14Z,@leydysamaithcoaquiramamani5326,rd2jKGQJucE,"Profe, necesito mas videos de ecuaciones diferenciales con ud para no morir en el intento",2024-05-05T02:31:14Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-05-05T22:03:14Z,@MatematicasprofeAlex,rd2jKGQJucE,Espero poder grabar más videos de ese tema.,2024-05-05T22:03:33Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-04-03T17:20:38Z,@renarodriguez7996,rd2jKGQJucE,"crack, te amo",2024-04-03T17:20:38Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-03-21T02:09:15Z,@LEYLAFASABI,rd2jKGQJucE,❤❤❤,2024-03-21T02:09:15Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
2024-03-13T23:14:53Z,@VocesDelAyer777,rd2jKGQJucE,Este curso es una bendición para los que estudiamos en universidad apenas terminado la colegiatura 🤓,2024-03-13T23:14:53Z,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
