Comment,VideoId,VideoUrl
"gracias por el curso profe<a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a>",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
no sabe como le agradezco profe,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"profe en la carpeta faltan las exactas, las puedes explicar?<br>o me puedes decir donde estan",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"Profe Alex, las ecuaciones diferenciales es lo mismo que el cálculo diferencial, esque quiero aprender cálculo diferencial.",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
como lo amo profe Alex es mi lugar seguro para aprender&lt;3,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Muchas gracias profe,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Graciasss,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"Profe, necesito mas videos de ecuaciones diferenciales con ud para no morir en el intento",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"crack, te amo",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
❤❤❤,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Este curso es una bendición para los que estudiamos en universidad apenas terminado la colegiatura 🤓,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Berenice Jiménez Hernández del grupo 403,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"infinitas gracias, sub y me gusta a todos los videos",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Excelente explicacion lo felicito,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
me encanta estudiar,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
4 meses de comenzar anda tanteando y ve o que entiendo gracias geniooooo❤,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
ya puedo mori tranquilo ya le vi la cara al profe alex,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"No sé qué hariamos sin usted, muchas gracias por ayudarnos❤",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"Excelente, se agradece !!!!!!",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Hey gracias,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
"Profe Alex te Amo, eres la segunda persona mas importante en mi vida despues de Messi, gracias por estos cursos 😭",rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Un abrazo fuerte bendiciones 🙏,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Uno siempre vuelve dónde aprendió.,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Gracias profe Alex son de mucha ayuda sud videos <br>Saludos desde cd.juarez Chihuhua Mexico,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
Profe no vas a sacar más videos de ecuaciones diferenciales?,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
El mejor profesor del mundo es usted a usted le debo todo lo k se 😎😎😎 mil gracias por sus videos y enseñansas,rd2jKGQJucE,https://www.youtube.com/watch?v=rd2jKGQJucE
